target_nrmse,branch,lep_branch,compressor,chunk_size,compressor_arg,achieved_nrmse,compression_ratio
0.0001,eta,lep_eta,sz3,1048576,"sz3:cmprAlgo=3,errorBoundMode=0,quantbinCnt=65536,blockSize=128,interpAlgo=1,interpDirection=0,interpAnchorStride=-1,absErrorBound=0.010000,relErrorBound=0.000000,psnrErrorBound=0.000000,l2normErrorBound=0.000000,interpAlpha=1.250000,interpBeta=2.000000,openmp=false,lorenzo=true,lorenzo2=false,regression=true,regression2=false",0.0006000305232409,3.611629962921143
0.0001,phi,lep_phi,sz3,1048576,"sz3:cmprAlgo=3,errorBoundMode=0,quantbinCnt=65536,blockSize=128,interpAlgo=1,interpDirection=0,interpAnchorStride=-1,absErrorBound=0.010000,relErrorBound=0.000000,psnrErrorBound=0.000000,l2normErrorBound=0.000000,interpAlpha=1.250000,interpBeta=2.000000,openmp=false,lorenzo=true,lorenzo2=false,regression=true,regression2=false",0.0009187672536428,3.7955784797668457
0.0001,pt,lep_pt,sz3,1048576,"sz3:cmprAlgo=3,errorBoundMode=1,quantbinCnt=65536,blockSize=128,interpAlgo=1,interpDirection=0,interpAnchorStride=-1,absErrorBound=0.001000,relErrorBound=0.001000,psnrErrorBound=0.000000,l2normErrorBound=0.000000,interpAlpha=1.250000,interpBeta=2.000000,openmp=false,lorenzo=true,lorenzo2=false,regression=true,regression2=false",0.0003002822604514,6.37958288192749
0.001,eta,lep_eta,sz3,1048576,"sz3:cmprAlgo=3,errorBoundMode=0,quantbinCnt=65536,blockSize=128,interpAlgo=1,interpDirection=0,interpAnchorStride=-1,absErrorBound=0.100000,relErrorBound=0.000000,psnrErrorBound=0.000000,l2normErrorBound=0.000000,interpAlpha=1.250000,interpBeta=2.000000,openmp=false,lorenzo=true,lorenzo2=false,regression=true,regression2=false",0.0060242639585519,5.845199108123779
0.001,phi,lep_phi,sz3,1048576,"sz3:cmprAlgo=3,errorBoundMode=0,quantbinCnt=65536,blockSize=128,interpAlgo=1,interpDirection=0,interpAnchorStride=-1,absErrorBound=0.100000,relErrorBound=0.000000,psnrErrorBound=0.000000,l2normErrorBound=0.000000,interpAlpha=1.250000,interpBeta=2.000000,openmp=false,lorenzo=true,lorenzo2=false,regression=true,regression2=false",0.0092544627292461,6.357749938964844
0.001,pt,lep_pt,sz3,65536,"sz3:cmprAlgo=2,errorBoundMode=1,quantbinCnt=65536,blockSize=128,interpAlgo=1,interpDirection=0,interpAnchorStride=-1,absErrorBound=0.001000,relErrorBound=0.100000,psnrErrorBound=0.000000,l2normErrorBound=0.000000,interpAlpha=1.250000,interpBeta=2.000000,openmp=false,lorenzo=true,lorenzo2=false,regression=true,regression2=false",0.009853352417442,32.99177169799805
0.01,eta,lep_eta,sz3,1048576,"sz3:cmprAlgo=3,errorBoundMode=1,quantbinCnt=65536,blockSize=128,interpAlgo=1,interpDirection=0,interpAnchorStride=-1,absErrorBound=0.001000,relErrorBound=0.100000,psnrErrorBound=0.000000,l2normErrorBound=0.000000,interpAlpha=1.250000,interpBeta=2.000000,openmp=false,lorenzo=true,lorenzo2=false,regression=true,regression2=false",0.0599957254278854,13.8292818069458
0.01,phi,lep_phi,sz3,1048576,"sz3:cmprAlgo=3,errorBoundMode=1,quantbinCnt=65536,blockSize=128,interpAlgo=1,interpDirection=0,interpAnchorStride=-1,absErrorBound=0.001000,relErrorBound=0.100000,psnrErrorBound=0.000000,l2normErrorBound=0.000000,interpAlpha=1.250000,interpBeta=2.000000,openmp=false,lorenzo=true,lorenzo2=false,regression=true,regression2=false",0.0577335419593244,13.00045680999756
0.01,pt,lep_pt,sz3,1048576,"sz3:cmprAlgo=3,errorBoundMode=1,quantbinCnt=65536,blockSize=128,interpAlgo=1,interpDirection=0,interpAnchorStride=-1,absErrorBound=0.001000,relErrorBound=1.000000,psnrErrorBound=0.000000,l2normErrorBound=0.000000,interpAlpha=1.250000,interpBeta=2.000000,openmp=false,lorenzo=true,lorenzo2=false,regression=true,regression2=false",0.0247481824156776,7607.64794921875
0.1,eta,lep_eta,sz3,1048576,"sz3:cmprAlgo=3,errorBoundMode=1,quantbinCnt=65536,blockSize=128,interpAlgo=1,interpDirection=0,interpAnchorStride=-1,absErrorBound=0.001000,relErrorBound=1.000000,psnrErrorBound=0.000000,l2normErrorBound=0.000000,interpAlpha=1.250000,interpBeta=2.000000,openmp=false,lorenzo=true,lorenzo2=false,regression=true,regression2=false",0.3315010892121456,9572.900390625
0.1,phi,lep_phi,sz3,1048576,"sz3:cmprAlgo=3,errorBoundMode=1,quantbinCnt=65536,blockSize=128,interpAlgo=1,interpDirection=0,interpAnchorStride=-1,absErrorBound=0.001000,relErrorBound=1.000000,psnrErrorBound=0.000000,l2normErrorBound=0.000000,interpAlpha=1.250000,interpBeta=2.000000,openmp=false,lorenzo=true,lorenzo2=false,regression=true,regression2=false",0.289168469868919,9572.900390625
1e-05,eta,lep_eta,zstd-trunc,1048576,"zstd-trunc:truncBits=12,compressionLevel=5",7.567739787100504e-05,1.7939558029174805
1e-05,phi,lep_phi,zstd-trunc,1048576,"zstd-trunc:truncBits=12,compressionLevel=5",6.075559235819719e-05,1.7275378704071045
1e-05,pt,lep_pt,zstd-trunc,1048576,"zstd-trunc:truncBits=16,compressionLevel=5",8.164586673498117e-05,3.0218286514282227
0.0001,eta,lep_eta,zstd-trunc,1048576,"zstd-trunc:truncBits=15,compressionLevel=5",0.0006070788193503,2.2799391746521
0.0001,phi,lep_phi,zstd-trunc,1048576,"zstd-trunc:truncBits=16,compressionLevel=5",0.0009721048347342,2.3708815574646
0.0001,pt,lep_pt,zstd-trunc,262144,"zstd-trunc:truncBits=19,compressionLevel=5",0.00064299894782,4.682052135467529
0.001,eta,lep_eta,zstd-trunc,1048576,"zstd-trunc:truncBits=19,compressionLevel=5",0.009645334925102,3.422337532043457
0.001,phi,lep_phi,zstd-trunc,1048576,"zstd-trunc:truncBits=19,compressionLevel=5",0.0077234848246937,3.2330880165100098
0.001,pt,lep_pt,zstd-trunc,262144,"zstd-trunc:truncBits=23,compressionLevel=5",0.007790268890872,12.27513027191162
0.01,eta,lep_eta,zstd-trunc,262144,"zstd-trunc:truncBits=23,compressionLevel=5",0.0855941363083466,5.901881694793701
0.01,phi,lep_phi,zstd-trunc,262144,"zstd-trunc:truncBits=23,compressionLevel=5",0.0836848708992094,5.726232528686523
